country,ratio,diff
India,109.0514874,-0.033370651
Afghanistan,104.7293506,0.113823466
Algeria,104.1202394,0.114115098
Angola,101.5846918,0.145576006
Argentina,103.7249941,0.199439544
Australia,105.379914,0.169140688
Azerbaijan,108.9993968,0.183079399
Bangladesh,104.3593272,0.130736225
Belgium,105.0545489,0.214243249
Benin,103.0548104,0.123048631
Bolivia,104.4607306,0.180019328
Brazil,104.4942274,0.20971499
Burkina Faso,103.5391752,0.10256017
Burundi,102.1927535,0.154635587
Cambodia,104.0834549,0.208765114
Cameroon,101.9637263,0.146611058
Canada,104.9441433,0.136136466
Chad,101.7502365,0.11120444
Chile,103.8061661,0.155197559
China,110.9842772,0.116113424
Colombia,104.6830108,0.197700847
"Congo, Dem. Rep.",102.0803985,0.1469582
Cote d'Ivoire,101.3816653,0.183226388
Cuba,105.4335451,0.190590037
Czech Republic,105.3673938,0.203383522
Dominican Republic,104.1188019,0.174145061
Ecuador,104.541019,0.206493763
"Egypt, Arab Rep.",105.1773633,0.115494396
Ethiopia,103.057248,0.201054085
France,104.7268714,0.177278405
Germany,104.8907877,0.156550694
Ghana,104.2308311,0.183736586
Greece,105.8114693,0.146589934
Guatemala,104.3295048,0.192888515
Guinea,101.4181611,0.114104408
Haiti,104.0387288,0.158628242
Indonesia,104.8929464,0.195407878
"Iran, Islamic Rep.",104.0905529,0.086679754
Iraq,105.7786965,0.179702943
Italy,105.7628049,0.147546149
Japan,105.2566554,0.099758695
Jordan,105.2002892,0.161219803
Kazakhstan,106.7404794,0.225260181
Kenya,102.6229245,0.161183935
"Korea, Dem. People’s Rep.",104.6360485,0.192712422
"Korea, Rep.",105.7090552,0.154890174
Madagascar,102.2906729,0.163474336
Malawi,101.9509306,0.192460319
Malaysia,105.6232284,0.147428227
Mali,103.3769218,0.11077202
Mexico,104.5611661,0.173500792
Morocco,105.3920023,0.18143228
Mozambique,101.0465349,0.117678728
Myanmar,102.14754,0.176104107
Nepal,106.7356205,0.135571437
Netherlands,104.9255928,0.177256814
Niger,104.1059197,0.089382438
Nigeria,104.8584939,0.107034457
Pakistan,107.310804,0.125038238
Peru,105.9328956,0.174239068
Philippines,105.1412975,0.193913025
Poland,105.5436949,0.158178077
Portugal,105.3968568,0.179303329
Romania,105.2127279,0.178514533
Russian Federation,105.2431393,0.178780308
Rwanda,101.6035081,0.171727872
Saudi Arabia,103.2207248,0.096597107
Senegal,102.8961317,0.16574053
Somalia,101.6138854,0.097731167
South Africa,102.6195816,0.158803002
South Sudan,102.6458362,0.09275173
Spain,106.231822,0.162609927
Sri Lanka,103.0791729,0.163066115
Sudan,103.0108837,0.158582749
Sweden,105.8800867,0.16384326
Syrian Arab Republic,104.2911031,0.16790455
Tanzania,102.2342089,0.135463683
Thailand,105.8722765,0.184581158
Tunisia,104.865968,0.158519165
Turkey,104.4768641,0.121215551
Uganda,102.2947563,0.189742924
Ukraine,105.4793328,0.178850668
United Kingdom,104.692276,0.170130735
United States,104.3249428,0.167410443
Uzbekistan,106.2611958,0.242648835
"Venezuela, RB",103.0762441,0.155608031
Vietnam,110.6087451,0.288040133
"Yemen, Rep.",104.0657518,0.129159271
Zambia,102.3849177,0.147877207
Zimbabwe,101.2930374,0.163858255
